index,all_sentence,sentence_onset,sentence_offset
21,"They started playing with it, putting it in their mouths, fighting over it.                                                                                                                                                                                                                                        ",104.1271279,106.8571279
22,"And of course when when it when it got pressed, they automatically looked into the lens.                                                                                                                                                                                                                           ",107.5189279,113.0489279
23,"And the fact that it's going ch, ch, ch, ch, ch, it's monkey language.                                                                                                                                                                                                                                             ",114.1689279,116.5989279
24,They fired off a few shots.                                                                                                                                                                                                                                                                                        ,117.7645279,118.5945279
25,David reviewed them.                                                                                                                                                                                                                                                                                               ,119.5545279,120.1945279
26,"They weren't bad, a little out of focus.                                                                                                                                                                                                                                                                           ",120.9545279,122.7545279
27,So he adjusted the settings and put the camera back.                                                                                                                                                                                                                                                               ,124.0545279,125.8045279
28,The monkeys were into the whole project by now.                                                                                                                                                                                                                                                                    ,127.1945279,128.8045279
29,"In fact, they were getting a little too excited.                                                                                                                                                                                                                                                                   ",129.3945279,130.7545279
30,They almost knocked the tripod over.                                                                                                                                                                                                                                                                               ,131.8545279,132.8545279
31,So David laid down on his stomach and stretched his arm out to steady the tripod with two fingers.                                                                                                                                                                                                                 ,134.2845279,138.4645279
32,A few other monkeys noticed their strange new friend lying full out on the floor and hopped onto his back.                                                                                                                                                                                                         ,139.9145279,144.3545279
33,"So I had monkeys on my back whilst I'm trying to keep my camera from being knocked, while some monkeys, or two or three monkeys, are trying to play with the button.                                                                                                                                               ",145.0526279,151.8626279
34,"Uhuh And all of a sudden, I heard the camera going off.                                                                                                                                                                                                                                                            ",152.3662279,154.6350279
35,And I didn't dare.                                                                                                                                                                                                                                                                                                 ,155.7050279,156.4050279
36,"I knew that if I looked up at them, they would probably look away.                                                                                                                                                                                                                                                 ",156.6050279,159.1550279
37,"So I let them click it, click it, click it.                                                                                                                                                                                                                                                                        ",160.0285279,161.5585279
38,"And I sort of very carefully looked up to see them pulling these amazing contorted faces, like howling mouths, and the the smiling mouth, and more besides.                                                                                                                                                        ",161.6785279,172.5885279
39,"The monkeys were taking selfies amazing, beautiful, weird selfies.                                                                                                                                                                                                                                                 ",174.1064279,178.6164279
40,I I just wanted it to go on forever really.                                                                                                                                                                                                                                                                        ,179.7846279,181.3346279
41,"When David finally stood up and checked their work, he saw that the shots weren't just regular, old, everyday selfies.                                                                                                                                                                                             ",186.1513279,190.8213279
42,They weren't that guy at the gym taking pictures of his muscles in the mirror.                                                                                                                                                                                                                                     ,192.0113279,194.6413279
43,"These were next level, transcendentally good.                                                                                                                                                                                                                                                                      ",195.8213279,198.0713279
44,They somehow escape the bounds of selfie and enter the realm of art.                                                                                                                                                                                                                                               ,198.9813279,202.0113279
45,There was one shot in particular that caught David's eye.                                                                                                                                                                                                                                                          ,203.7313279,205.8013279
46,The monkey's face is very close to the camera looking straight into the lens.                                                                                                                                                                                                                                      ,207.0413279,210.1113279
47,It's hair perfectly coiffed.                                                                                                                                                                                                                                                                                       ,211.2313279,212.7613279
48,"Eyes friendly, big and round and amber.                                                                                                                                                                                                                                                                            ",213.8813279,216.1813279
49,"All of which are nice details, and details are important.                                                                                                                                                                                                                                                          ",217.5813279,219.5113279
50,"But the focus of this selfie, the main event, is the monkey's selfsatisfied grin teeth that are too big for its mouth with gaps between them, a real grin, like he knows he's smiling for a picture.                                                                                                               ",220.1613279,231.9613279
51,I I just saw it on the front cover of National Geographic or something like that.                                                                                                                                                                                                                                  ,233.0327279,237.2227279
52,"And I just thought, I need to get this to my agents.                                                                                                                                                                                                                                                               ",237.4827279,239.5927279
53,David and his agents put out a press release about the selfies.                                                                                                                                                                                                                                                    ,246.9148279,249.0148279
54,They thought they could grab people's attention with the photos and then use the opportunity to send a message about conservation.                                                                                                                                                                                 ,249.9348279,254.5548279
55,"And also they wanted to sell the pictures, of course.                                                                                                                                                                                                                                                              ",255.8348279,257.4248279
56,"These monkeys, crested black macaques, are considered to be critically endangered, which is just one step before extinct in the wild.                                                                                                                                                                              ",259.1148279,266.6148279
57,"They've lost eighty percent of their population in the last forty years because of humans, which is why David went to Indonesia in the first place.                                                                                                                                                                ",267.9448279,274.8048279
58,"He wanted to take photographs that would inspire us humans into caring more about these little monkeys, to stop killing them.                                                                                                                                                                                      ",276.3048279,282.3848279
59,"The selfies didn't end up on the cover of National Geographic, but the British tabloids were interested.                                                                                                                                                                                                           ",284.1848279,288.3948279
60,The Daily Mail was the first newspaper to publish story about the selfies.                                                                                                                                                                                                                                         ,289.7548279,292.3448279
61,"This was in Within an hour, it was all over your country, Australia, Germany.                                                                                                                                                                                                                                      ",293.4648279,299.3410279
62,Uh I was getting emails everywhere.                                                                                                                                                                                                                                                                                ,300.4610279,302.5210279
63,My inbox went crazy.                                                                                                                                                                                                                                                                                               ,303.0210279,303.9010279
64,"Uh people wanting to know the story, wanting to use the image.                                                                                                                                                                                                                                                     ",304.9110279,307.7710279
65,"Um literally, my phone was hot with with with calls.                                                                                                                                                                                                                                                               ",309.0310279,311.9510279
66,"Over the next few months, the monkey selfies sold pretty well.                                                                                                                                                                                                                                                     ",313.0207279,315.5107279
67,David was licensing them to publications and selling prints.                                                                                                                                                                                                                                                       ,316.6007279,319.0307279
68,"And then one day, he goes online to research the monkeys.                                                                                                                                                                                                                                                          ",320.4607279,322.5007279
69,I started to just search crested black macaque one day in in the Google.                                                                                                                                                                                                                                           ,323.3373279,327.2673279
70,"And there was Wikipedia, top of the list as always.                                                                                                                                                                                                                                                                ",328.3173279,330.2973279
71,"Um clicked on that, and there's my image.                                                                                                                                                                                                                                                                          ",331.8573279,333.9173279
72,"And I and I thought, where have they got this Have they been to Caters News Agency and paid a license fee for They had not.                                                                                                                                                                                        ",334.8373279,340.9878279
73,So I so I sent them a letter.                                                                                                                                                                                                                                                                                      ,341.5858279,342.4158279
74,"Sent them a letter saying, I think you're using this without a license fee.                                                                                                                                                                                                                                        ",343.7058279,347.4158279
75,"Um could you show me one, or or would you would you Um they wrote back, saying, this this this image we believe is is public domain.                                                                                                                                                                               ",347.7958279,357.3158279
76,"In other words, anyone could use it without David's permission, for free.                                                                                                                                                                                                                                          ",358.5672279,361.6972279
77,"To David, that was just stealing.                                                                                                                                                                                                                                                                                  ",363.0872279,364.1272279
78,He makes a living from selling his pictures.                                                                                                                                                                                                                                                                       ,365.4672279,366.7172279
79,So it was really helpful to have one that was such a hit.                                                                                                                                                                                                                                                          ,367.4772279,369.2172279
80,"But now, anyone could download it from Wikipedia and hang it on their wall or print it in their publication.                                                                                                                                                                                                       ",370.4272279,374.9872279
81,Wikipedia's opinion is that information on the internet should be free.                                                                                                                                                                                                                                            ,377.0372279,379.8172279
82,And David soon learned that they had decided the selfie was in the public domain Because the monkey pressed the button.                                                                                                                                                                                            ,380.9772279,385.9379279
83,So the monkey was technically the creator of the photo.                                                                                                                                                                                                                                                            ,388.7885279,390.7385279
84,"But in Wikipedia's assessment, monkeys can't own copyrights.                                                                                                                                                                                                                                                       ",392.0385279,394.5685279
85,"Hence, the photo was free and fair for all to use.                                                                                                                                                                                                                                                                 ",396.1585279,398.6385279
86,It belonged to the internet.                                                                                                                                                                                                                                                                                       ,399.9185279,400.9185279
87,David was baffled.                                                                                                                                                                                                                                                                                                 ,402.4885279,402.8985279
88,"He thought Well, surely I've got the copyright.                                                                                                                                                                                                                                                                    ",403.9985279,405.6726279
89,I set it all up.                                                                                                                                                                                                                                                                                                   ,406.4326279,407.1826279
90,I've got the intent.                                                                                                                                                                                                                                                                                               ,407.3326279,407.7726279
91,I had the creativity.                                                                                                                                                                                                                                                                                              ,408.1926279,408.4826279
92,Alls the monkey did is press the button.                                                                                                                                                                                                                                                                           ,409.0926279,410.0726279
93,"Wikipedia includes a note below the photo, which reads, quote, file is in the public domain because as the work of a nonhuman animal it has no human author in whom copyright is This decision of Wikipedia's, to declare the photo public domain, that was the opening volley in the monkey selfie battle to come.",411.2176279,431.2976279
94,"It was the moment when mother nature was shoved aside, and human nature, with its overstuffed baggage of laws and opinions and domination, took a seat.                                                                                                                                                            ",432.6176279,440.2576279
95,"David went on the offensive, assembled a team of lawyers, studied up on copyright law.                                                                                                                                                                                                                             ",447.4276279,451.4476279
96,He even looked into finding venture capitalists to fund a lawsuit against Wikipedia.                                                                                                                                                                                                                               ,452.1876279,455.1676279
97,Wikimedia that's the foundation that owns Wikipedia they just gave him the finger.                                                                                                                                                                                                                                 ,456.8076279,460.9076279
98,This was at their big conference in London.                                                                                                                                                                                                                                                                        ,462.0276279,463.2476279
99,It's called Wikimania.                                                                                                                                                                                                                                                                                             ,464.0676279,464.3976279
100,"One of the founders, Jimmy Wales, was there.                                                                                                                                                                                                                                                                       ",465.9576279,467.4576279
101,"I soon got to know, from the good Wikipedians out there, that Jimmy Wales and many of the delegates were mocking me by printing out my image on great big boards that it was placed all over the conference facility.                                                                                              ",468.1282279,482.0082279
102,And Jimmy Wales and and various other people were encouraging the delegates to take selfies with my selfie.                                                                                                                                                                                                        ,483.1782279,489.9182279
103,That's just mean.                                                                                                                                                                                                                                                                                                  ,490.7368279,491.1168279
104,"There was quite a few of these images around the place on the internet, but but the one with with Jimmy Wales is particularly odious.                                                                                                                                                                              ",491.1258279,496.4058279
105,I wanna look that up really fast here.                                                                                                                                                                                                                                                                             ,498.0906279,499.4906279
106,Hang on.                                                                                                                                                                                                                                                                                                           ,499.8506279,500.0606279
107,Jimmy Wales oh monkey selfie.                                                                                                                                                                                                                                                                                      ,500.6842279,503.8642279
108,Jimmy Wales Wikimania.                                                                                                                                                                                                                                                                                             ,503.7568279,504.2568279
109,Here we go.                                                                                                                                                                                                                                                                                                        ,505.3638279,505.6038279
110,"Oh, yeah.                                                                                                                                                                                                                                                                                                          ",505.8238279,506.0138279
111,Look at that.                                                                                                                                                                                                                                                                                                      ,506.1738279,506.4338279
112,"If you type Jimmy Wales monkey selfie into the Google, you'll find a photo of an adult male human holding his phone up in one hand and the monkey selfie in the other right next to his face.                                                                                                                      ",507.5838279,517.7938279
113,And he's got his lips puckered up like a duck.                                                                                                                                                                                                                                                                     ,519.0338279,521.2338279
114,He looks ridiculous.                                                                                                                                                                                                                                                                                               ,522.5246279,522.8346279
115,"Now, is he is that face he's making is that.                                                                                                                                                                                                                                                                       ",524.4165279,526.4365279
116,"Well, it's like a duck face.                                                                                                                                                                                                                                                                                       ",528.3147279,529.1747279
117,And he's.                                                                                                                                                                                                                                                                                                          ,528.8106279,528.9406279
118,Why why is.                                                                                                                                                                                                                                                                                                        ,529.5506279,530.0906279
119,I don't know where that comes from.                                                                                                                                                                                                                                                                                ,529.5187279,530.5087279
120,I don't either.                                                                                                                                                                                                                                                                                                    ,531.0568279,531.4268279
121,But a lot of people seem to do this duck lips.                                                                                                                                                                                                                                                                     ,530.7160279,532.4160279
122,How did you feel when you saw that Jimmy Wales selfie with your monkey So angry.                                                                                                                                                                                                                                   ,533.6195279,538.8880279
123,David was fighting Goliath.                                                                                                                                                                                                                                                                                        ,546.7894279,547.6094279
124,"And then one day, the battle took on epic new proportions.                                                                                                                                                                                                                                                         ",548.9394279,551.1694279
125,"It was like King Kong walked onto the scene, and now David had to battle him too.                                                                                                                                                                                                                                  ",552.7394279,556.0494279
126,The dispute with Wikimedia had generated some press in the UK.                                                                                                                                                                                                                                                     ,557.4994279,560.3694279
127,"And one day, David's wife was online.                                                                                                                                                                                                                                                                              ",561.7794279,563.2494279
128,There it was.                                                                                                                                                                                                                                                                                                      ,564.2198279,564.4798279
129,Um photographer being sued by a monkey.                                                                                                                                                                                                                                                                            ,564.8598279,567.3098279
130,"Yeah just as I just, yeah.                                                                                                                                                                                                                                                                                         ",568.1398279,569.9398279
131,You found out the monkey was suing you because your wife found it online.                                                                                                                                                                                                                                          ,568.0609279,571.2909279
132,"Just as I found out Wikipedia was stealing it because I stumbled across it, I also stumbled across the fact that I was being sued by a monkey.                                                                                                                                                                     ",573.5686279,579.6386279
133,"The monkey in the selfie photos was suing him for copyright infringement with the help of PETA, People for the Ethical Treatment of Animals.                                                                                                                                                                       ",580.9219279,587.6319279
134,David called his lawyers and said Look.                                                                                                                                                                                                                                                                            ,589.1019279,590.8593279
135,"Have you seen what's happening What can we And they said, Dave, this is clearly an April Somebody is having you on.                                                                                                                                                                                                ",591.0193279,598.6293279
136,"They said, just sit back.                                                                                                                                                                                                                                                                                          ",599.7793279,600.6493279
137,Let's see what happens.                                                                                                                                                                                                                                                                                            ,601.0293279,601.5693279
138,But do not respond to it.                                                                                                                                                                                                                                                                                          ,602.0893279,603.3093279
139,And you can't you know you've got nothing to worry about until you get served papers.                                                                                                                                                                                                                              ,604.5893279,607.6593279
140,Let's see what happens.                                                                                                                                                                                                                                                                                            ,608.0893279,608.5693279
141,"And sure enough, one afternoon I was at home.                                                                                                                                                                                                                                                                      ",609.5268279,612.0268279
142,And there's a knock at the door.                                                                                                                                                                                                                                                                                   ,612.3568279,613.1168279
143,And a and a man in a black suit um was standing in my porch way.                                                                                                                                                                                                                                                   ,614.3068279,618.2568279
144,Or I opened the door.                                                                                                                                                                                                                                                                                              ,618.7368279,619.3968279
145,He thrust a large A4 sized white envelope in my hand.                                                                                                                                                                                                                                                              ,619.8068279,623.2468279
146,"And says, I've been instructed to to pass these to you.                                                                                                                                                                                                                                                            ",624.1868279,626.6868279
147,"So I said, what are And I opened it in front of him.                                                                                                                                                                                                                                                               ",627.6168279,631.0468279
148,And I took it out.                                                                                                                                                                                                                                                                                                 ,631.6468279,632.6368279
149,"And I said to him, do you know what this And he said, not really.                                                                                                                                                                                                                                                  ",633.0668279,635.8368279
150,"I said, I'm being sued by a monkey.                                                                                                                                                                                                                                                                                ",636.7968279,638.2568279
151,And I showed him.                                                                                                                                                                                                                                                                                                  ,638.7168279,639.2668279
152,And he started laughing.                                                                                                                                                                                                                                                                                           ,640.0168279,640.6468279
153,And we had a little chat.                                                                                                                                                                                                                                                                                          ,642.3750279,642.9550279
154,Cause he was just he was a local uh from a local firm down the road from me.                                                                                                                                                                                                                                       ,643.5550279,646.9250279
155,And he went on his merry way.                                                                                                                                                                                                                                                                                      ,647.7799279,648.6199279
156,I've read the complaint.                                                                                                                                                                                                                                                                                           ,649.7255279,650.1155279
157,It's kind of weird.                                                                                                                                                                                                                                                                                                ,650.7255279,651.1055279
158,You flip through pages and pages of legalese about copyright law.                                                                                                                                                                                                                                                  ,652.0255279,654.8455279
159,"And then at the end when you get to the exhibits, it's just a bunch of monkey selfies, grinning, serious, howling monkey selfies like a legal document put together by Curious George.                                                                                                                             ",655.6755279,665.9055279
160,"The monkey, whose name is Naruto, was suing David through his next friends, People for the Ethical Treatment of Animals.                                                                                                                                                                                           ",667.3755279,673.5055279
161,"The case is officially called Naruto, a Crested Macaque, by and through his Next Friends, People for the Ethical Treatment of Animals, Inc., David John Slater, an Individual.                                                                                                                                     ",674.9355279,685.5655279
162,"In legal parlance, next friend is a status like guardian.                                                                                                                                                                                                                                                          ",687.4555279,690.0655279
163,"When someone can't represent themselves in court, the next friend can step in for them.                                                                                                                                                                                                                            ",690.8955279,694.5655279
164,That's just the same as if it if it was a baby or um a disabled adult who couldn't speak or or or represent I see.                                                                                                                                                                                                 ,695.1323279,702.7554279
165,Uh that that's not unusual in in human law.                                                                                                                                                                                                                                                                        ,703.3738279,705.7238279
166,PETA has a reputation for pulling stunts to attract attention to the plight of animals.                                                                                                                                                                                                                            ,707.1672279,711.0172279
167,"Once, they dumped horse manure on the sidewalk outside Gordon Ramsay's restaurant in London after a guest on his cooking show made a dish with horse meat.                                                                                                                                                         ",712.1672279,719.5572279
168,They made a comic book called Your Mommy Kills Animals and then handed it out to moms who were wearing fur coats at performances of the Nutcracker.                                                                                                                                                                ,720.6772279,727.5072279
169,"They campaigned to change the word fish to sea kittens so that people would associate seafood with their adorable kitty cats and stop eating them the fish, I mean.                                                                                                                                                ",728.9772279,737.4372279
170,But Jeff Kerr he's the general counsel to PETA he says this monkey selfie case is not one of those stunts.                                                                                                                                                                                                         ,738.9072279,744.3872279
171,We first saw the monkey selfie in approximately twenty fourteen um when the dispute between Mr. Slater and Wikimedia became international news.                                                                                                                                                                                                             ,745.0888279,755.1888279
172,"Uh our view was immediately that Naruto, who created created the photograph, should own the copyright to it.                                                                                                                                                                                                       ",756.1888279,764.0188279
173,"Jeff saw the dispute as this photographer wants to sue Wikimedia, and Wikimedia is claiming the photo is in the public domain.                                                                                                                                                                                     ",764.9337279,771.1437279
174,But who's standing up for the That's what the law is.                                                                                                                                                                                                                                                              ,772.4437279,775.4624279
175,"And our argument, very simply, is that that that should apply equally to him, even though he simply happens not to have been born human.                                                                                                                                                                           ",775.8124279,783.0624279
176,"But certainly the monkey didn't think like, now uh this is great.                                                                                                                                                                                                                                                  ",783.6910279,786.5910279
177,I've got a camera in my hands.                                                                                                                                                                                                                                                                                     ,786.7910279,787.6710279
178,I'm gonna snap a couple frames and update my Bumble profile with whatever I get.                                                                                                                                                                                                                                   ,788.1010279,791.4610279
179,"You know like the monkey's not thinking of it as, I'm taking a photograph here.                                                                                                                                                                                                                                    ",791.8010279,795.5410279
180,But that's not required uh under the copyright law.                                                                                                                                                                                                                                                                ,795.8833279,798.6533279
181,"All that's required is that the copyright law uh simply provides that the author, uh the creator of the of the image, is entitled to own it.                                                                                                                                                                       ",798.9833279,809.9833279
182,It doesn't say that the that the author has to know that he or she is making a photograph.                                                                                                                                                                                                                         ,810.5233279,815.4733279
183,"If somebody gives you their camera and asks you to take a photograph, and you arrange them uh and you take the photograph, uh under those circumstances, you technically would own the copyright.                                                                                                                  ",816.4171279,826.9071279
184,There are like twenty French tourists that I need to sue.                                                                                                                                                                                                                                                          ,827.8108279,829.8308279
185,PETA is an American organization.                                                                                                                                                                                                                                                                                  ,840.9907279,841.9007279
186,And the case was to be heard in federal court in San Francisco.                                                                                                                                                                                                                                                    ,842.9407279,844.9007279
187,David talked to his lawyers in England.                                                                                                                                                                                                                                                                            ,846.5707279,847.7507279
188,And they told him he needed to hire an American attorney and fight this.                                                                                                                                                                                                                                           ,848.2907279,851.7507279
189,"I was advised by talking to these attorneys um that I really need I did need to follow this through, Mhm.                                                                                                                                                                                                          ",852.6044279,859.5286279
190,"there would be a chance, an outside chance albeit, of it it just going the monkey's way if I didn't challenge it.                                                                                                                                                                                                  ",860.2575279,866.8075279
191,The monkey would So.                                                                                                                                                                                                                                                                                               ,867.7101279,868.5483279
192,"Well, it it it it it was in in the in the court in uh California.                                                                                                                                                                                                                                                  ",870.4339279,874.3339279
193,And everybody had has the opinion that anything can happen there.                                                                                                                                                                                                                                                  ,875.6920279,878.3920279
194,I don't know how true that is.                                                                                                                                                                                                                                                                                     ,880.3413279,881.3413279
195,But I was being told I can't take that risk.                                                                                                                                                                                                                                                                       ,881.9313279,883.5613279
196,Have you been to no.                                                                                                                                                                                                                                                                                               ,884.1617279,886.7867279
197,It's kinda true.                                                                                                                                                                                                                                                                                                   ,887.8651279,888.1951279
198,David hired Andrew Dhuey to represent him.                                                                                                                                                                                                                                                                         ,893.0951279,895.0351279
199,"Do you remember when you first heard about the Was it when did David call Is that how you first heard about Uh no, I read about it.                                                                                                                                                                                ",896.0357279,903.0922279
200,And I don't remember where I read about it.                                                                                                                                                                                                                                                                        ,903.1722279,905.2322279
201,Um but I got pretty excited when I saw that it was filed in San Francisco federal court cause I'm right across the bay in Berkeley.                                                                                                                                                                                ,905.4622279,911.1222279
202,"Um so I thought, wow, I would be perfect for this case.                                                                                                                                                                                                                                                            ",912.1922279,915.8222279
203,Andrew is an intellectual property lawyer.                                                                                                                                                                                                                                                                         ,917.0679279,918.7979279
204,Works for himself.                                                                                                                                                                                                                                                                                                 ,919.3879279,919.7079279
205,"And when he read about the case, he reached out to David to ask if he could take it.                                                                                                                                                                                                                               ",920.7579279,924.0979279
206,"Why did you think you were perfect for the Well, I think you know the case kinda lent itself to you know making monkey puns and things like that.                                                                                                                                                                  ",924.9901279,933.5432279
207,And uh I just thought that would be I I I kinda like to do that.                                                                                                                                                                                                                                                   ,933.8493279,936.9193279
208,I'm I'm uh I like to joke around.                                                                                                                                                                                                                                                                                  ,937.1393279,939.1993279
209,I don't know if you've like seen my my LinkedIn profile.                                                                                                                                                                                                                                                           ,939.4493279,941.6193279
210,I'm in a Chippendales costume.                                                                                                                                                                                                                                                                                     ,942.0693279,942.8993279
211,"For his LinkedIn picture, Andrew chose a shot of himself wearing eyeglasses, a bow tie, and nothing else.                                                                                                                                                                                                          ",944.1080279,948.5480279
212,"All these years I've been practicing for like twenty five years, and I've never been able to to uh joke around in uh anything I filed in court.                                                                                                                                                                    ",949.1849279,956.2649279
213,"So I was like, hey, this would this would actually be a case where I could do that.                                                                                                                                                                                                                                ",957.3049279,960.5149279
214,"That said, he's a real intellectual property lawyer.                                                                                                                                                                                                                                                               ",966.8243279,968.9543279
215,"He's defended the toy company WhamO, won an important case against Panasonic.                                                                                                                                                                                                                                      ",969.7743279,973.1343279
216,"And for Andrew, the case was a one banana problem.                                                                                                                                                                                                                                                                 ",974.7343279,976.5743279
217,He answered Naruto's complaint with a motion to dismiss the case.                                                                                                                                                                                                                                                  ,977.8843279,980.3543279
218,"Monkeys, he said, do not have standing to sue in federal court.                                                                                                                                                                                                                                                    ",981.5243279,984.6943279
219,"His argument is based on a precedent set in two thousand four in a case called Cetacean Community Bush, in which all the world's whales, porpoises, and dolphins sued the president.                                                                                                                               ",986.3343279,998.0843279
220,"All the world's whales, porpoises, and dolphins argued that the military's use of underwater sonar was hurting them, changing their natural behaviors, like eating and mating.                                                                                                                                     ",999.5343279,1008.514328
221,"Basically, sonar is just an incredibly loud sound wave.                                                                                                                                                                                                                                                            ",1009.934328,1012.474328
222,"So cetaceans, that's a scientific word for a category of marine mammal cetaceans flee when they hear sonar, sometimes even themselves to get away.                                                                                                                                                                 ",1013.264328,1022.964328
223,"In that case, the Ninth Circuit Court of Appeals decided that unless Congress explicitly states otherwise, animals do not have standing to sue in federal court.                                                                                                                                                   ",1024.714328,1033.884328
224,So that's the case Andrew pointed to in his defense.                                                                                                                                                                                                                                                               ,1035.404328,1037.074328
225,"But PETA hired an outside attorney to represent the monkey Naruto in court, a guy named David Schwarz.                                                                                                                                                                                                             ",1038.884328,1044.154328
226,"This guy, Schwarz, he comes from a fancy law firm in Los Angeles known for intellectual property law.                                                                                                                                                                                                              ",1045.294328,1051.124328
227,Most of his case was an intellectual property argument that Naruto was the legal owner of the copyright because he was the one who made the photo.                                                                                                                                                                 ,1052.264328,1058.764328
228,But PETA also saw this case as an opportunity to nudge the law and set a precedent.                                                                                                                                                                                                                                ,1060.454328,1064.404328
229,They disagreed with the ruling in the cetacean case.                                                                                                                                                                                                                                                               ,1065.654328,1067.524328
230,They believe animals should have recourse in court.                                                                                                                                                                                                                                                                ,1069.044328,1071.404328
231,"Calling civil matter fifteen dash four three two four, Naruto David John Slater, et al.                                                                                                                                                                                                                            ",1072.165428,1078.205428
232,"Counsel, please come forward and state your appearance.                                                                                                                                                                                                                                                            ",1078.605428,1080.305428
233,Good afternoon This is a recording from the hearing in the federal district court in San Francisco.                                                                                                                                                                                                                ,1081.536328,1084.503928
234,The judge asked Schwarz if he has an example of an animal ever being granted a copyright.                                                                                                                                                                                                                          ,1085.973928,1089.863928
235,"In that vast history of common law prior to the Copyright Act, was there do you have an example of where an animal was granted a I I do not have an example where an animal was granted a copyright.                                                                                                               ",1090.633828,1102.992428
236,We could make the counterargument as to how other humans were denied protection under that law due to the color of their skin.                                                                                                                                                                                     ,1103.692428,1110.882428
237,Um one could see the contradiction in a statutory interpretation where we see that problem in the antebellum in the antebellum days.                                                                                                                                                                               ,1111.812428,1121.862428
238,"But when you look at the cornerstones of That's quite a stretch, Mr. Schwarz.                                                                                                                                                                                                                                         ",1122.422428,1125.456928
239,Just to pause on this for a moment.                                                                                                                                                                                                                                                                                ,1126.782428,1127.672428
240,"Yes, Schwarz is comparing a monkey's lack of copyright to chattel slavery, which is offensive and seems weirdly blind to the racist history of comparing black people and monkeys.                                                                                                                                 ",1128.732428,1138.692428
241,Even Schwarz seems uncomfortable with it.                                                                                                                                                                                                                                                                          ,1139.932428,1141.392428
242,He's saying that denying a monkey the right to own property because of species is the same as denying humans the right to own property because of the color of their skin.                                                                                                                                         ,1142.282428,1150.372428
243,"That's quite a stretch, Mr. Schwarz.                                                                                                                                                                                                                                                                        ",1151.375428,1152.595428
244,Pardon That's quite a stretch.                                                                                                                                                                                                                                                                                     ,1153.071728,1153.960828
245,But go ahead.                                                                                                                                                                                                                                                                                                      ,1154.760828,1155.030828
246,Okay and and I I certainly wouldn't make it the centerpiece of any argument here today.                                                                                                                                                                                                                            ,1154.986728,1159.356728
247,"But it is fair to say uh that before the adoption of the fourteenth Amendment, the concepts of uh property ownership in the area of patents foreclosed the ability of a slave to claim ownership to a patent.                                                                                                      ",1159.706728,1175.056728
248,What's going on here is that PETA sees the monkey selfie case in the context of a larger endgame.                                                                                                                                                                                                                  ,1176.840428,1181.210428
249,"If they can get a court to agree that denying a monkey the right to own property is the same as denying a human the right to own property, that opens the door for the legal system to completely reconsider the legal status of animals.                                                                          ",1182.890428,1195.070428
250,An animal would be declared an owner of property instead of just being property.                                                                                                                                                                                                                                   ,1196.670428,1200.660428
251,This isn't the first time PETA has tried an argument like this in the courts.                                                                                                                                                                                                                                      ,1210.030428,1212.620428
252,In they sued SeaWorld on behalf of five orcas at SeaWorld Orlando and SeaWorld San Diego.                                                                                                                                                                                                                          ,1213.870428,1219.050428
